Rank,City,Lat,Lon,Ratio
1,"Jackson, WY-ID",43.4799,-110.7624,213
2,"Bridgeport-Stamford-Norwalk, CT",41.1192,-73.3807,73.7
3,"Naples-Immokalee-Marco Island, FL",26.1667,-81.6399,73.2
4,"Sebastian-Vero Beach, FL",27.7275,-80.434,63.5
5,"Key West, FL",24.5551,-81.78,58.5
6,"Gardnerville Ranchos, NV",38.8882,-119.7413,46.1
7,"Miami-Fort Lauderdale-West Palm Beach, FL",26.1998,-80.1275,45
8,"Midland, TX",31.9973,-102.0779,44.3
9,"Glenwood Springs, CO",39.5505,-107.3248,42.4
10,"San Angelo, TX",31.4638,-100.437,40.9
